Wavelength,Intensity
100,2349
101,974
102,434
103,298
104,215
105,184
106,235
107,286
108,719
109,1459
110,2364
111,3358
112,3743
113,3878
114,3719
115,3133
116,2253
117,911
118,431
119,298
120,211
121,150
122,137
123,79
124,107
125,207
126,599
127,1403
128,2358
129,3343
130,3690
131,3815
132,3687
133,3053
134,2035
135,962
136,386
137,150
138,138
139,79
140,92
141,141
142,125
143,365
144,947
145,1832
146,2735
147,3514
148,3871
149,3863
150,3479
151,2599
152,1359
153,595
154,295
155,207
156,143
157,117
158,195
159,99
160,165
161,564
162,1401
163,2322
164,3237
165,3631
166,3835
167,3776
168,2942
169,1951
170,911
171,429
172,287
173,235
174,203
175,119
176,207
177,176
178,379
179,1080
180,1929
181,2841
182,3502
183,3806
184,3791
185,3343
186,2399
187,1199
188,599
189,327
190,152
191,134
192,69
193,43
194,137
195,129
196,438
197,1336
198,2223
199,3189
