Wavelength,Intensity
100,216
101,220
102,222
103,221
104,220
105,220
106,221
107,224
108,218
109,224
110,224
111,220
112,224
113,222
114,216
115,221
116,222
117,230
118,218
119,220
120,223
121,225
122,230
123,226
124,219
125,224
126,227
127,234
128,231
129,232
130,242
131,258
132,551
133,911
134,1135
135,1259
136,1338
137,1378
138,1389
139,1398
140,1404
141,1414
142,1411
143,1423
144,1424
145,1419
146,1425
147,1425
148,1429
149,1428
150,1433
151,1429
152,1428
153,1427
154,1431
155,1428
156,1429
157,1432
158,1416
159,1405
160,1381
161,1334
162,1269
163,1204
164,1065
165,967
166,844
167,726
168,650
169,623
170,607
171,596
172,550
173,516
174,506
175,487
176,472
177,475
178,458
179,452
180,455
181,482
182,457
183,452
184,458
185,458
186,459
187,455
188,466
189,459
190,463
191,452
192,462
193,452
194,459
195,461
196,450
197,458
198,460
199,456
